course_code,competency,competency_score,keyword_score,total_score
COMM 387/COMR 387/COEC 387,Planning and project managing skills,0.4475720748305321,0.4549534427268164,0.4512627587786743
COMM 387/COMR 387/COEC 387,Networking skills,0.3312067554465362,0.5189994491104569,0.42510310227849657
COMM 387/COMR 387/COEC 387,Negotiating skills,0.3623498124735696,0.45191725835736307,0.4071335354154664
COMM 387/COMR 387/COEC 387,Self-Aware,0.5253014096191951,0.7676070162228176,0.6464542129210064
COMM 387/COMR 387/COEC 387,Enterprising Traits,0.7046189521040235,0.6220221460929939,0.6633205490985087
COMM 387/COMR 387/COEC 387,Self-Directed,0.18937641185974435,0.7000960313848087,0.44473622162227655
COMM 387/COMR 387/COEC 387,Teamwork,0.48565044360501425,0.45009592015828404,0.46787318188164917
COMM 387/COMR 387/COEC 387,Uncertainty Management,0.32445093776498524,0.620412996837071,0.4724319673010281
COMM/COMR 388,Entrepreneurial Mindset,0.5596081241965294,0.4091643877327442,0.4843862559646368
COMM/COMR 388,Opportunity Recognition,0.4167306646704674,0.4991910457611084,0.4579608552157879
COMM/COMR 388,Market Research,0.17264643125236034,0.22016382543370128,0.1964051283430308
COMM/COMR 388,Product Development,0.212253175675869,0.42376190423965454,0.31800753995776176
COMM/COMR 388,Marketing,0.2252080850303173,0.23020859993994236,0.22770834248512983
COMM/COMR 388,Business Modeling,0.31810909509658813,0.33695728704333305,0.3275331910699606
COMM/COMR 388,Managerial Decision Making,0.434988297522068,0.7958066463470459,0.615397471934557
COMM/COMR 388,Legal ,0.08627290837466717,0.10378429196862271,0.09502860017164494
COMM/COMR 388,Financial Decision Making,0.24867256358265877,0.19516005739569664,0.2219163104891777
COMM/COMR 388,Observational skills,0.13182951044291258,0.5475482884794474,0.33968889946117997
COMM/COMR 388,Creativity skills,0.7268635416985489,0.6943445125798462,0.7106040271391976
COMM/COMR 388,Problem solving skills,0.790549173951149,0.7259702980518341,0.7582597360014915
COMM/COMR 388,Communication skills,0.537473764270544,0.6510748416185379,0.594274302944541
COMM/COMR 388,Decision-making skills,0.5281969346106052,0.6999378073960543,0.6140673710033298
COMM/COMR 388,Planning and project managing skills,0.29546199180185795,0.5824654325842857,0.43896371219307184
COMM/COMR 388,Networking skills,0.21698005497455597,0.6102207293733954,0.4136003921739757
